Pclass,Fare,Age,SibSp,Parch,Survived
3.0,7.25,22.0,1.0,0.0,0.0
1.0,71.2833,38.0,1.0,0.0,1.0
3.0,7.925,26.0,0.0,0.0,1.0
1.0,53.1,35.0,1.0,0.0,1.0
3.0,8.05,35.0,0.0,0.0,0.0
1.0,51.8625,54.0,0.0,0.0,0.0
3.0,21.075,2.0,3.0,1.0,0.0
3.0,11.1333,27.0,0.0,2.0,1.0
2.0,30.0708,14.0,1.0,0.0,1.0
3.0,16.7,4.0,1.0,1.0,1.0
1.0,26.55,58.0,0.0,0.0,1.0
3.0,8.05,20.0,0.0,0.0,0.0
3.0,31.275,39.0,1.0,5.0,0.0
3.0,7.8542,14.0,0.0,0.0,0.0
2.0,16.0,55.0,0.0,0.0,1.0
3.0,29.125,2.0,4.0,1.0,0.0
3.0,18.0,31.0,1.0,0.0,0.0
2.0,26.0,35.0,0.0,0.0,0.0
2.0,13.0,34.0,0.0,0.0,1.0
3.0,8.0292,15.0,0.0,0.0,1.0
1.0,35.5,28.0,0.0,0.0,1.0
3.0,21.075,8.0,3.0,1.0,0.0
3.0,31.3875,38.0,1.0,5.0,1.0
1.0,263.0,19.0,3.0,2.0,0.0
1.0,27.7208,40.0,0.0,0.0,0.0
2.0,10.5,66.0,0.0,0.0,0.0
1.0,82.1708,28.0,1.0,0.0,0.0
1.0,52.0,42.0,1.0,0.0,0.0
3.0,8.05,21.0,0.0,0.0,0.0
3.0,18.0,18.0,2.0,0.0,0.0
3.0,11.2417,14.0,1.0,0.0,1.0
3.0,9.475,40.0,1.0,0.0,0.0
2.0,21.0,27.0,1.0,0.0,0.0
2.0,41.5792,3.0,1.0,2.0,1.0
3.0,7.8792,19.0,0.0,0.0,1.0
3.0,17.8,18.0,1.0,0.0,0.0
3.0,39.6875,7.0,4.0,1.0,0.0
3.0,7.8,21.0,0.0,0.0,0.0
1.0,76.7292,49.0,1.0,0.0,1.0
2.0,26.0,29.0,1.0,0.0,1.0
1.0,61.9792,65.0,0.0,1.0,0.0
2.0,10.5,21.0,0.0,0.0,1.0
3.0,7.2292,28.5,0.0,0.0,0.0
2.0,27.75,5.0,1.0,2.0,1.0
3.0,46.9,11.0,5.0,2.0,0.0
3.0,7.2292,22.0,0.0,0.0,0.0
1.0,80.0,38.0,0.0,0.0,1.0
1.0,83.475,45.0,1.0,0.0,0.0
3.0,27.9,4.0,3.0,2.0,0.0
2.0,10.5,29.0,0.0,0.0,1.0
3.0,8.1583,19.0,0.0,0.0,0.0
3.0,7.925,17.0,4.0,2.0,1.0
3.0,8.6625,26.0,2.0,0.0,0.0
2.0,10.5,32.0,0.0,0.0,0.0
3.0,46.9,16.0,5.0,2.0,0.0
2.0,73.5,21.0,0.0,0.0,0.0
